game_id,player_id,timestamp,tic,x,y,z,angle,momx
8,3,2025-11-27 10:39:13,3489,7,521,48,266.66,-2,-8
8,3,2025-11-27 10:39:14,3524,-23,337,48,206.06,-2,-3
8,3,2025-11-27 10:39:15,3562,-48,304,48,181.80,-2,-2
8,3,2025-11-27 10:39:16,3597,-190,295,56,122.26,-2,0
8,3,2025-11-27 10:39:18,3639,-195,431,64,34.45,4,0
8,3,2025-11-27 10:39:19,3675,-145,410,64,285.12,0,-2
8,3,2025-11-27 10:39:20,3710,-154,431,64,281.25,-1,0
8,3,2025-11-27 10:39:22,3792,-167,439,200,130.61,-4,1
8,3,2025-11-27 10:39:23,3827,-201,525,200,113.51,1,-2
8,3,2025-11-27 10:39:24,3862,-119,515,200,266.31,0,0
8,3,2025-11-27 10:39:25,3897,-89,515,200,17.23,0,0
8,3,2025-11-27 10:39:26,3932,-104,506,200,193.71,0,-1
8,3,2025-11-27 10:39:27,3967,-191,527,200,273.78,0,1
8,3,2025-11-27 10:39:28,4006,-186,350,156,269.03,0,-10
8,3,2025-11-27 10:39:29,4050,-168,319,64,317.42,5,-6
8,3,2025-11-27 10:39:30,4085,-36,283,48,297.73,0,1
8,3,2025-11-27 10:39:31,4120,6,143,48,275.32,1,-7
8,3,2025-11-27 10:39:32,4155,4,-177,24,259.28,-2,-11
8,3,2025-11-27 10:39:33,4192,-16,-329,32,359.60,0,0
8,3,2025-11-27 10:39:34,4227,17,-293,27,94.17,0,4
8,3,2025-11-27 10:39:35,4262,13,-113,24,96.59,-1,13
8,3,2025-11-27 10:39:36,4297,-59,109,48,165.32,-6,2
8,3,2025-11-27 10:39:37,4332,-282,162,24,180.04,-3,0
8,3,2025-11-27 10:39:38,4367,-519,208,24,146.43,-2,-1
8,3,2025-11-27 10:39:39,4402,-694,327,24,158.55,-2,1
8,3,2025-11-27 10:39:40,4437,-711,340,24,168.44,-6,1
8,3,2025-11-27 10:39:41,4472,-851,373,24,164.93,-6,1
8,3,2025-11-27 10:39:42,4508,-925,390,24,164.93,-1,0
8,3,2025-11-27 10:39:43,4543,-982,397,24,179.38,-1,0
8,3,2025-11-27 10:39:44,4578,-980,395,24,168.05,-1,0
8,3,2025-11-27 10:39:45,4613,-1038,474,24,88.37,-1,3
8,3,2025-11-27 10:39:46,4648,-1040,527,24,84.68,0,3
8,3,2025-11-27 10:39:47,4683,-1033,743,24,89.03,0,4
8,3,2025-11-27 10:39:48,4718,-976,910,24,26.02,-1,0
8,3,2025-11-27 10:39:49,4753,-938,935,24,9.32,0,0
8,3,2025-11-27 10:39:50,4788,-936,940,24,3.21,-2,0
8,3,2025-11-27 10:39:51,4823,-948,941,24,3.21,0,0
8,3,2025-11-27 10:39:53,4888,-968,940,24,3.12,-1,-1
8,3,2025-11-27 10:39:55,4938,-977,943,24,324.36,-1,0
8,3,2025-11-27 10:39:56,4973,-992,827,24,253.65,-3,-8
8,3,2025-11-27 10:39:57,5008,-1086,594,24,223.99,-7,-9
8,3,2025-11-27 10:39:58,5043,-1289,443,24,182.50,-11,-3
8,3,2025-11-27 10:39:59,5078,-1460,422,24,174.99,-8,0
8,3,2025-11-27 10:40:00,5113,-1725,454,72,135.70,-6,2
8,3,2025-11-27 10:40:01,5148,-1797,566,120,23.77,-1,0
8,3,2025-11-27 10:40:02,5183,-1802,571,120,41.97,0,0
8,3,2025-11-27 10:40:03,5227,-1806,563,120,68.73,0,0
8,3,2025-11-27 10:40:04,5262,-1816,754,184,116.89,-2,3
8,3,2025-11-27 10:40:05,5297,-1840,844,200,86.31,0,2
8,3,2025-11-27 10:40:06,5332,-1840,858,216,87.01,-1,-1
8,3,2025-11-27 10:40:07,5367,-1777,1028,248,25.44,0,3
8,3,2025-11-27 10:40:08,5402,-1741,1064,248,327.30,1,-1
8,3,2025-11-27 10:40:09,5437,-1589,984,248,350.73,6,-3
8,3,2025-11-27 10:40:10,5472,-1434,962,248,5.32,5,0
8,3,2025-11-27 10:40:11,5507,-1316,982,248,54.89,1,0
8,3,2025-11-27 10:40:12,5542,-1254,1081,248,97.73,1,3
8,3,2025-11-27 10:40:13,5577,-1278,1125,248,148.49,-6,3
8,3,2025-11-27 10:40:14,5612,-1390,1186,248,174.99,-3,0
8,3,2025-11-27 10:40:15,5647,-1471,1207,248,122.04,-3,2
8,3,2025-11-27 10:40:16,5682,-1514,1285,248,87.93,-1,5
8,3,2025-11-27 10:40:17,5717,-1510,1425,248,85.12,0,2
8,3,2025-11-27 10:40:18,5752,-1507,1461,248,88.42,0,0
8,3,2025-11-27 10:40:19,5787,-1507,1478,248,91.45,-1,0
8,3,2025-11-27 10:40:21,5845,-1520,1564,248,96.68,-1,7
8,3,2025-11-27 10:40:22,5880,-1494,1627,108,196.13,-2,-1
8,3,2025-11-27 10:40:23,5915,-1541,1654,0,89.78,-1,5
8,3,2025-11-27 10:40:24,5950,-1553,1699,0,72.69,0,0
8,3,2025-11-27 10:40:25,5985,-1551,1686,0,81.87,0,-2
8,3,2025-11-27 10:40:26,6023,-1549,1673,40,81.91,-1,-1
8,3,2025-11-27 10:40:27,6058,-1553,1584,180,88.46,-1,-1
8,3,2025-11-27 10:40:28,6093,-1556,1567,248,85.25,-1,-5
8,3,2025-11-27 10:40:29,6128,-1568,1404,248,86.18,-1,-2
8,3,2025-11-27 10:40:30,6163,-1527,1487,248,56.69,0,1
8,3,2025-11-27 10:40:31,6198,-1539,1438,248,82.57,0,5
8,3,2025-11-27 10:40:32,6233,-1532,1550,248,95.10,-1,5
8,3,2025-11-27 10:40:33,6268,-1536,1560,248,86.18,0,3
8,3,2025-11-27 10:40:34,6303,-1524,1508,248,95.19,1,-9
8,3,2025-11-27 10:40:35,6338,-1506,1383,248,95.45,0,-1
8,3,2025-11-27 10:40:36,6382,-1527,1435,248,111.09,-1,1
8,3,2025-11-27 10:40:37,6417,-1540,1409,248,92.50,0,-3
8,3,2025-11-27 10:40:38,6452,-1545,1533,248,88.68,-1,3
8,3,2025-11-27 10:40:39,6487,-1537,1647,0,86.48,0,0
8,3,2025-11-27 10:40:40,6522,-1538,1640,140,77.39,-2,-6
8,3,2025-11-27 10:40:41,6557,-1558,1567,248,78.27,-1,-1
8,3,2025-11-27 10:40:42,6592,-1539,1645,100,81.91,0,0
8,3,2025-11-27 10:40:43,6627,-1493,1856,0,20.08,4,4
8,3,2025-11-27 10:40:44,6662,-1361,1929,0,98.44,-1,1
8,3,2025-11-27 10:40:45,6697,-1426,2039,0,137.20,-7,6
8,3,2025-11-27 10:40:46,6736,-1491,2095,0,163.87,-1,0
8,3,2025-11-27 10:40:47,6774,-1557,2095,0,118.52,-1,0
8,3,2025-11-27 10:40:48,6809,-1554,2087,0,12.48,3,2
8,3,2025-11-27 10:40:49,6844,-1432,2079,0,21.40,5,0
8,3,2025-11-27 10:40:50,6879,-1355,2144,0,74.58,3,9
8,3,2025-11-27 10:40:51,6914,-1289,2287,-16,357.50,1,-1
8,3,2025-11-27 10:40:52,6949,-1083,2209,-48,14.37,7,-1
8,3,2025-11-27 10:40:53,6984,-890,2203,-96,38.01,2,0
8,3,2025-11-27 10:40:54,7019,-775,2278,-128,19.12,2,1
8,3,2025-11-27 10:40:55,7054,-673,2325,-144,15.91,0,0
8,3,2025-11-27 10:40:57,7107,-654,2331,-144,24.17,0,0
8,3,2025-11-27 10:40:58,7142,-643,2331,-144,341.54,0,-1
8,3,2025-11-27 10:40:59,7177,-669,2326,-144,29.88,-3,-1
8,3,2025-11-27 10:41:00,7212,-599,2371,-144,66.62,2,5
8,3,2025-11-27 10:41:01,7247,-472,2479,-144,357.28,-1,0
8,3,2025-11-27 10:41:02,7282,-353,2393,-144,270.97,2,-2
8,3,2025-11-27 10:41:03,7325,-368,2320,-232,305.68,-1,0
8,3,2025-11-27 10:41:04,7360,-365,2320,-172,356.66,-3,0
8,3,2025-11-27 10:41:05,7395,-572,2320,-144,2.46,-2,-1
8,3,2025-11-27 10:41:06,7430,-529,2321,-144,0.66,8,0
8,3,2025-11-27 10:41:07,7465,-310,2326,-221,7.38,5,0
